tradeDate,IC,IC_累计值
20210104,0.16719145645250688,0.16719145645250688
20210201,0.0628667481379334,0.2300582045904403
20210301,0.13331126411891728,0.3633694687093576
20210401,0.09043729939670514,0.45380676810606274
20210506,-0.200047237070286,0.25375953103577675
20210601,0.039099418886131145,0.2928589499219079
20210701,-0.10656679095764406,0.18629215896426388
20210802,0.12697993906623764,0.3132720980305015
20210901,0.23958156664965163,0.5528536646801532
20211008,0.024525585332828472,0.5773792500129816
20211101,-0.04316974015690173,0.5342095098560798
20211201,0.18201576997818347,0.7162252798342633
20220104,0.17660611487632316,0.8928313947105865
20220207,-0.0981229346038403,0.7947084601067462
20220301,-0.051678812353276336,0.7430296477534699
20220401,0.29308662959278464,1.0361162773462547
20220505,0.050189008943790074,1.0863052862900446
20220601,0.06766501901956257,1.153970305309607
20220701,-0.1200708111085685,1.0338994942010387
20220801,0.294375194759094,1.3282746889601327
20220901,0.17502636812549419,1.503301057085627
20221010,-0.0027677031956785804,1.5005333538899484
20221101,0.12061849521291486,1.6211518491028631
20221201,0.07765499253079426,1.6988068416336575
20230103,0.08688512120531995,1.7856919628389774
20230201,0.05257790139897619,1.8382698642379536
20230301,-0.10467993480038104,1.7335899294375725
20230403,-0.0012148005658953378,1.732375128871677
20230504,-0.14390011917701234,1.5884750096946647
20230601,-0.03177091680771126,1.5567040928869535
20230703,0.23053391735634965,1.7872380102433032
